marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	10235470	R1526MUPFBDOJZ	B0025Z0EZO	931654522	Cumbia Caliente	Digital_Music_Purchase	4.0	0.0	0.0	N	Y	Four Stars	I like it	2015-08-08
US	29740995	R1ZT85DHNNC1K8	B0073Y8W9M	842350727	Great Is Thy Faithfulness	Digital_Music_Purchase	5.0	0.0	0.0	N	Y	The best version of this song that has been recorded	The best version of this song that has been recorded. I'm kinda picky about how my hymns are sung. Slightly faster than the traditional hymn but still great.	2015-08-25
US	17930617	R815OM9YR5IM1	B00Y2AZ3BA	152485094	Everything Is Awesome!!!	Digital_Music_Purchase	4.0	0.0	0.0	N	Y	Four Stars	My son is a big fan :)	2015-08-31
US	18505120	RP48NOJDUZUIA	B00VF3YXUY	917285116	Before This World	Digital_Music_Purchase	3.0	0.0	1.0	N	Y	Three Stars	Meh.	2015-08-23
US	5626117	R31T0QO2UD0QFH	B012JWGMWQ	509786888	I'm Not Done With U Yet	Digital_Music_Purchase	5.0	0.0	0.0	N	Y	Brilliant!!!	Love the Lady and her Music!!!	2015-08-04
US	46510267	R3MKSERESNWAEZ	B000W1QWVI	911272112	Spirit Of Radio: Greatest Hits (1974-1987)	Digital_Music_Purchase	5.0	0.0	0.0	N	Y	Five Stars	A great collection of song by the greatest band in the world!!!!	2015-08-01
US	41925184	R3DD11XKCSY9LS	B00PL486V0	129947533	Love Stuff	Digital_Music_Purchase	5.0	0.0	0.0	N	Y	Five Stars	Love love love it!	2015-08-24
US	39142436	R2Q3F7LERX8S6U	B00U0MP3RS	682463309	That's What I Like (feat. Fitz)	Digital_Music_Purchase	4.0	0.0	0.0	N	Y	Four Stars	Fun song, upbeat and happy	2015-07-27
US	23942781	R36YUS1UEI3TRO	B000QLD1UY	911263161	Coal Miner's Daughter (Re-recording)	Digital_Music_Purchase	5.0	0.0	0.0	N	Y	Coal Miners Daughter	It explains some of her life.	2015-08-29
US	7728134	R35KVR75KO6HON	B00HL8261K	341096954	ZZ Top - Greatest Hits	Digital_Music_Purchase	5.0	0.0	0.0	N	Y	Five Stars	Dont make music like this any more	2015-08-06
