item_id,status,created_at,sku,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status, MV ,Year,Month,Customer Since,M-Y,FY,Customer ID,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
305240.0,canceled,11/23/2016,majestic_15 Pc Cookware Set - Burgandy,5850.0,1.0,3510.0,100210517,Home & Living,R-RWP-107026,2340.0,jazzvoucher,11/23/2016,Gross," 5,850 ",2016.0,11.0,2016-9,11-2016,FY17,7285.0,,,,,
310559.0,complete,11/23/2016,RUB_Rubian Zipper,175.0,1.0,1785.0,100214013,Mobiles & Tablets,\N,0.0,cod,11/23/2016,Net, 175 ,2016.0,11.0,2016-8,11-2016,FY17,2826.0,,,,,
235860.0,order_refunded,8/30/2016,Naushemian_#0028-Offwhite-M,60000.0,1.0,60000.0,100164222,Women's Fashion,R-LHC-104138,0.0,cod,8/30/2016,Valid," 60,000 ",2016.0,8.0,2016-7,8-2016,FY17,148.0,,,,,
306348.0,complete,11/23/2016,Stek_Wireless Mouse-yellow,332.0,1.0,842.0,100211285,Computing,\N,166.0,jazzwallet,11/23/2016,Net, 332 ,2016.0,11.0,2016-11,11-2016,FY17,17530.0,,,,,
326157.0,order_refunded,11/25/2016,HQDistributors_I5 Plus-Black,2845.0,1.0,2845.0,100224048,Mobiles & Tablets,\N,0.0,cod,11/25/2016,Valid," 2,845 ",2016.0,11.0,2016-10,11-2016,FY17,11606.0,,,,,
306048.0,order_refunded,11/23/2016,designdarzi_BF006-L,799.0,1.0,799.0,100211078,Men's Fashion,\N,0.0,cod,11/23/2016,Valid, 799 ,2016.0,11.0,2016-11,11-2016,FY17,18212.0,,,,,
315073.0,canceled,11/24/2016,sentiment_WCK01-A-Islamabad,543.0,1.0,543.0,100217122,Soghaat,\N,0.0,Payaxis,11/24/2016,Gross, 543 ,2016.0,11.0,2016-11,11-2016,FY17,19692.0,,,,,
311455.0,canceled,11/23/2016,United_OTG Connector,95.0,1.0,21.37,100214632,Mobiles & Tablets,\N,73.63,jazzwallet,11/23/2016,Gross, 95 ,2016.0,11.0,2016-11,11-2016,FY17,19038.0,,,,,
287047.0,complete,11/19/2016,AC_ac 179-black-M,479.0,1.0,479.0,100198729,Women's Fashion,\N,0.0,cod,11/19/2016,Net, 479 ,2016.0,11.0,2016-8,11-2016,FY17,3983.0,,,,,
273325.0,canceled,11/3/2016,Infinix Hot 4 Nationwide-Gold,12599.0,1.0,12599.0,100189718,\N,103237,0.0,cod,11/3/2016,Gross," 12,599 ",2016.0,11.0,2016-10,11-2016,FY17,11536.0,,,,,
